ts,final_label,rf_label,rf_conf,if_score,route,unsup_verdict,thr_in,thr_out,conf_gate,is_partial,src_ip,src_port,dst_ip,dst_port,latency_ms
1757675964.971138,Benign,Benign,1.000000,0.243395,rf_confident,outlier,0.379100,0.379100,0.750,1,169.254.169.254,80,10.128.0.5,34576,
1757675976.944319,Benign,Benign,0.990000,0.325170,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,43058,74.125.132.95,443,
1757675980.951656,Benign,Benign,1.000000,0.354398,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,43074,74.125.132.95,443,
1757675982.953674,Benign,Benign,1.000000,0.356525,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,35344,74.125.132.95,443,
1757675994.959809,Benign,Benign,1.000000,0.383703,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34576,169.254.169.254,80,
1757675994.995174,Benign,Benign,1.000000,0.382432,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34580,169.254.169.254,80,
1757676001.270371,Benign,Benign,1.000000,-0.003947,rf_confident,outlier,0.389098,0.389098,0.750,0,10.128.0.5,51714,142.250.152.95,443,
1757676004.117303,Benign,Benign,0.950000,0.382846,rf_confident,outlier,0.389098,0.389098,0.750,0,103.246.42.72,42072,10.128.0.5,22,
1757676016.969753,Benign,Benign,1.000000,0.361527,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,42730,74.125.202.95,443,
1757676022.647305,Benign,Benign,1.000000,0.315067,rf_confident,outlier,0.389098,0.389098,0.750,0,35.235.245.128,36155,10.128.0.5,22,
1757676026.979168,Benign,Benign,1.000000,0.239389,rf_confident,outlier,0.379100,0.379100,0.750,1,169.254.169.254,80,10.128.0.5,34580,
1757676027.013061,Benign,Benign,1.000000,0.218496,rf_confident,outlier,0.379100,0.379100,0.750,1,169.254.169.254,80,10.128.0.5,34576,
1757676041.065408,Benign,Benign,0.870000,0.368223,rf_confident,outlier,0.389098,0.389098,0.750,0,193.46.255.217,56890,10.128.0.5,22,
1757676044.163692,Benign,Benign,0.990000,0.368882,rf_confident,outlier,0.389098,0.389098,0.750,0,80.94.95.15,13413,10.128.0.5,22,
1757676050.293856,Benign,Benign,0.910000,0.368774,rf_confident,outlier,0.389098,0.389098,0.750,0,193.46.255.217,58866,10.128.0.5,22,
1757676056.417467,Benign,Benign,0.900000,0.364804,rf_confident,outlier,0.389098,0.389098,0.750,0,23.137.255.140,59468,10.128.0.5,22,
1757676056.989856,Benign,Benign,1.000000,0.380860,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34576,169.254.169.254,80,
1757676057.025074,Benign,Benign,1.000000,0.380860,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34580,169.254.169.254,80,
1757676057.060624,Benign,Benign,1.000000,0.390494,rf_confident,inlier,0.379100,0.379100,0.750,1,79.124.49.90,55767,10.128.0.5,3389,
1757676059.498806,Benign,Benign,0.940000,0.365794,rf_confident,outlier,0.389098,0.389098,0.750,0,10.128.0.5,22,80.94.95.15,13413,
