ts,proc_cpu_percent,proc_rss_mb,sys_cpu_percent
1757700190650,0.0,14.62,31.5
1757700191650,0.0,14.62,1.3
1757700192651,0.0,14.62,1.8
1757700193652,0.0,14.62,30.9
1757700194652,1.0,14.62,0.1
1757700195653,0.0,14.62,1.1
1757700196654,0.0,14.62,31.5
1757700197655,0.0,14.62,0.6
1757700198655,0.0,14.62,0.3
1757700199656,0.0,14.62,31.6
1757700200657,0.0,14.62,0.8
1757700201657,0.0,14.62,1.2
1757700202658,0.0,14.62,31.1
1757700203659,0.0,14.62,2.7
1757700204659,0.0,14.62,0.1
1757700205660,0.0,14.62,30.5
1757700206661,0.0,14.62,2.4
1757700207661,1.0,14.62,0.2
1757700208662,0.0,14.62,29.7
1757700209663,0.0,14.62,3.8
1757700210664,0.0,14.62,0.2
1757700211664,0.0,14.62,29.0
1757700212665,0.0,14.62,3.9
1757700213666,0.0,14.62,0.8
1757700214666,1.0,14.62,28.4
1757700215667,0.0,14.62,5.8
1757700216668,0.0,14.62,0.0
1757700217668,1.0,14.62,27.5
1757700218669,0.0,14.62,5.2
1757700219670,0.0,14.62,0.1
1757700220672,0.0,14.62,22.2
1757700221673,0.0,14.62,11.7
1757700222674,0.0,14.62,0.2
1757700223675,0.0,14.62,15.4
1757700224675,0.0,14.62,19.5
1757700225676,0.0,14.62,0.0
1757700226677,1.0,14.62,12.8
1757700227678,0.0,14.62,19.2
1757700228678,0.0,14.62,0.3
1757700229679,0.0,14.62,4.2
1757700230680,0.0,14.62,28.6
1757700231680,0.0,14.62,1.0
1757700232681,0.0,14.62,2.8
1757700233682,0.0,14.62,29.2
1757700234682,0.0,14.62,0.2
1757700235683,0.0,14.62,2.1
1757700236684,0.0,14.62,32.1
1757700237684,1.0,14.62,0.4
1757700238685,0.0,14.62,1.4
1757700239686,0.0,14.62,31.6
1757700240687,0.0,14.62,0.5
1757700241687,0.0,14.62,0.6
1757700242688,0.0,14.62,31.2
1757700243689,1.0,14.62,0.4
1757700244689,0.0,14.62,0.6
1757700245690,0.0,14.62,31.9
1757700246691,0.0,14.62,1.4
1757700247692,0.0,14.62,0.1
1757700248692,0.0,14.62,30.5
1757700249693,1.0,14.62,1.9
1757700250694,0.0,14.62,0.2
1757700251694,0.0,14.62,30.0
1757700252695,0.0,14.62,2.0
1757700253696,0.0,14.62,0.2
1757700254697,0.0,14.62,29.1
1757700255697,0.0,14.62,4.8
1757700256698,0.0,14.62,0.3
1757700257699,0.0,14.62,28.7
1757700258699,1.0,14.62,4.4
1757700259700,0.0,14.62,0.6
1757700260701,0.0,14.62,27.4
1757700261702,0.0,14.62,4.8
1757700262702,0.0,14.62,0.2
1757700263703,0.0,14.62,27.2
1757700264704,0.0,14.62,5.0
1757700265704,0.0,14.62,0.4
1757700266705,0.0,14.62,20.8
1757700267706,0.0,14.62,11.2
1757700268707,0.0,14.62,0.0
1757700269707,1.0,14.62,13.2
1757700270708,0.0,14.62,19.1
1757700271709,0.0,14.62,0.0
1757700272709,0.0,14.62,5.4
1757700273710,0.0,14.62,26.7
1757700274711,0.0,14.62,0.3
1757700275712,0.0,14.62,2.9
1757700276712,0.0,14.62,29.1
1757700277713,1.0,14.62,0.1
1757700278714,0.0,14.62,2.5
1757700279714,0.0,14.62,30.2
1757700280715,0.0,14.62,0.0
1757700281716,1.0,14.62,1.5
1757700282716,0.0,14.62,30.7
1757700283717,0.0,14.62,0.1
1757700284718,0.0,14.62,0.8
1757700285718,0.0,14.62,31.6
1757700286719,0.0,14.62,0.6
1757700287720,0.0,14.62,0.0
1757700288720,0.0,14.62,31.7
1757700289721,0.0,14.62,2.5
1757700290722,0.0,14.62,0.3
1757700291723,0.0,14.62,31.0
1757700292723,1.0,14.62,0.9
1757700293724,0.0,14.62,0.0
1757700294725,0.0,14.62,30.1
1757700295726,0.0,14.62,3.5
1757700296726,0.0,14.62,1.2
1757700297727,0.0,14.62,29.6
1757700298728,0.0,14.62,3.3
1757700299729,0.0,14.62,0.5
1757700300729,0.0,14.62,28.7
1757700301730,1.0,14.62,4.9
1757700302731,0.0,14.62,0.2
1757700303731,0.0,14.62,28.1
1757700304732,0.0,14.62,6.7
1757700305733,0.0,14.62,0.2
1757700306734,0.0,14.62,27.4
1757700307735,0.0,14.62,7.2
1757700308735,1.0,14.62,0.0
1757700309736,0.0,14.62,22.8
1757700310737,0.0,14.62,9.2
1757700311737,0.0,14.62,0.4
1757700312738,0.0,14.62,21.3
1757700313739,1.0,14.62,16.1
1757700314740,0.0,14.62,0.3
1757700315743,0.0,14.62,9.9
1757700316744,0.0,14.62,23.4
1757700317745,0.0,14.62,0.2
1757700318746,0.0,14.62,3.1
1757700319746,0.0,14.62,31.8
1757700320747,0.0,14.62,2.8
1757700321748,0.0,14.62,2.7
